"enquadramento";"2019";"2020";"2021";"2022"
"Transitar Em Velocidade Superior A Maxima Permitida Em Ate 20%";1669937;2315135;2621180;1526702
"Transitar Em Local/Horario Nao Permitido Pela Regulamentacao - Rodizio";1163857;991530;1171693;1220416
"Transitar Na Faixa Ou Via Exclusiva Regulam P/Transp Publ Coletivo Passag";396293;319127;328297;388270
"Estacionar Em Desacordo Com A Regulamentacao - Estacionamento Rotativo";127759;57543;92622;212488
"Transitar Em Velocidade Superior A Maxima Permitida Em Mais De 20% Ate 50%";212089;348024;371221;196631
"Transitar Em Local/Horario Nao Permitido Pela Regulamentacao - Caminhao";156226;62068;2176;150852
"Estacionar Em Local/Horario Proibido Especificamente Pela Sinalizacao";150883;107351;119319;107635
"Avancar O Sinal Vermelho Do Semaforo - Fiscalizacao Eletronica";92458;92228;110163;104867
"Deixar De Conservar O Veiculo Na Faixa A Ele Destinada Pela Sinalizacao De Regul";61848;62132;58245;82209
"Executar Operacao De Conversao A Direita Em Local Proibido Pela Sinalizacao";44780;38709;36788;51974
"Parar Sobre Faixa De Pedestres Na Mudanca De Sinal Luminoso (Fisc Eletronica)";41346;36837;45904;51136
"Avancar O Sinal Vermelho Do Semaforo";82095;57219;55193;47835
"Dirigir Veiculo Segurando Telefone Celular";69841;45600;39408;34370
"Dirigir Veiculo Manuseando Telefone Celular";75740;57139;71921;30819
"Transitar Em Velocidade Superior A Maxima Permitida Em Mais De 50%";26393;48977;46822;23671
"Executar Operacao De Conversao A Esquerda Em Local Proibido Pela Sinalizacao";25353;21189;19625;21104
"Estacionar No Passeio/Calcada";26577;21405;19451;18047
"Transitar Em Local/Horario Nao Permitido Pela Regul Estabelecida Pela Autoridade";42759;26277;25327;18047
"Deixar O Condutor De Usar O Cinto Seguranca";41592;36152;44808;17729
"Estacionar Local/Horario De Estacionamento E Parada Proibidos Pela Sinalizacao";27159;17911;18537;17188
"Estacionar Ao Lado De Outro Veiculo Em Fila Dupla";15328;9626;10963;10944
"Em Movimento, Deixar De Manter Acesa A Luz Baixa Durante A Noite";20480;11122;7917;10231
"Transitar Pela Contramao De Direcao Em Via C/ Sinalizacao De Regul Sentido Unico";14953;11038;9523;9742
"Dirigir Veiculo Utilizando-Se De Telefone Celular";33635;17764;13665;8829
"Deixar De Indicar C/Antec, Med Gesto De Braco/Luz Indicadora, Mudanca Direcao";20100;16578;20037;6732
"Estacionar Em Desacordo Com A Regulamentacao Especificada Pela Sinalizacao";10832;5578;5789;6181
"Deixar De Indicar C/Antec, Med Gesto De Braco/Luz Indicadora, Mudanca De Faixa";15498;19452;13357;6076
"Transitar Com O Veiculo Em Marcas De Canalizacao";15760;6997;5289;6075
"-";NA;NA;2069;5281
"Estacionar No Ponto De Embarque/Desembarque De Passageiros Transporte Coletivo";7949;5870;5622;5241
"Estacionar Sobre Faixa Destinada A Pedestre";7158;4543;4611;5077
"Estacionar Nas Vagas Reserv A Idosos, S/ Credencial";6268;3538;4640;4651
"Estacionar Em Guia De Calcada Rebaixada Destinada A Entrada/Saida De Veiculos";6991;4439;4082;4529
"Estacionar Nas Esquinas E A Menos De 5m Do Alinhamento Da Via Transversal";8590;4547;3808;4076
"Parar Afastado Da Guia Da Calcada (Meio-Fio) A Mais De 1m";16463;7360;1345;3181
"Parar Sobre Faixa De Pedestres Na Mudanca De Sinal Luminoso";5965;3413;1821;2937
"Parar Na Area De Cruzamento De Vias";8489;3358;1534;2576
"Deixar De Deslocar C/Antecedencia Veic P/ Faixa Mais A Esquerda Qdo For Manobrar";8167;3635;1805;2455
"Estacionar Na Contramao De Direcao";3279;3450;4114;2394
"Transitar Pela Contramao De Direcao Em Via Com Duplo Sentido De Circulacao";4154;2305;1704;2275
"Usar No Veiculo Equip C/Som Em Volume/Frequencia Nao Autorizados Pelo Contran";4455;4158;4382;2267
"Parar Sobre Faixa Destinada A Pedestres";3812;2309;1563;1981
"Conduzir Motocicleta, Motoneta E Ciclomotor Sem Capacete De Seguranca";2739;2180;2354;1903
"Parar Em Local/Horario Proibidos Especificamente Pela Sinalizacao";4431;2431;1112;1817
"Avancar O Sinal De Parada Obrigatoria";2140;1213;997;1743
"Executar Operacao De Retorno Em Locais Proibidos Pela Sinalizacao";3761;2587;1465;1723
"Deixar O Passageiro De Usar O Cinto Seguranca";7769;5155;2749;1708
"Conduzir Motocicleta, Motoneta E Ciclomotor Transportando Passageiro S/ Capacete";1852;1613;1576;1635
"Deixar De Deslocar C/Antecedencia Veic P/Faixa Mais A Direita Qdo For Manobrar";5840;2311;1562;1568
"Estacionar Em Desacordo Com A Regulamentacao - Ponto Ou Vaga De Taxi";2911;1981;1353;1529
"Transitar Com O Veiculo Em Calcadas, Passeios";2124;1831;1458;1457
"Estacionar Nas Vagas Reserv As Pess C/ Deficiencia, S/ Credencial";2008;1059;1167;1299
"Transitar Com O Veiculo Em Ciclovias, Ciclofaixas";964;447;746;1281
"Estacionar Sobre Ciclovia Ou Ciclofaixa";1126;978;2232;1196
"Dirigir O Veiculo Com O Braco Do Lado De Fora";3494;1594;1135;1166
"Dirigir Sem Atencao Ou Sem Os Cuidados Indispensaveis A Seguranca";15045;9537;5149;1151
"Transportar Crianca Sem Observancia Das Normas De Seguranca Estabelecidas P/ Ctb";2537;1368;909;1032
"Conduzir Motoc/Moton/Ciclomotor Fazendo Malabarismo/Equilibrando-Se Em Uma Roda";1151;1455;1543;1029
"Desobedecer As Ordens Emanadas Da Autorid Compet De Transito Ou De Seus Agentes";1088;715;851;911
"Estacionar Ao Lado Ou Sobre Marcas De Canalizacao";1528;761;700;829
"Estacionar Ao Lado Ou Sobre Canteiro Central/Divisores De Pista De Rolamento";3260;1112;897;818
"Deixar De Dar Preferencia A Pedestre/Veic N Motorizado Na Faixa A Ele Destinada";2355;1065;474;803
"Estacionar Ao Lado Ou Sobre Gramado Ou Jardim Publico";1785;1353;1019;704
"Atirar Do Veiculo Objetos Ou Substancias";1408;1087;800;696
"Estacionar Em Desacordo Com As Posicoes Estabelecidas No Ctb";1609;916;1350;674
"Transitar Em Marcha Re, Salvo Na Distancia Necessaria A Pequenas Manobras";1326;749;517;592
"Transpor Bloqueio Viario Com Ou Sem Sinalizacao Ou Dispositivos Auxiliares";1235;598;339;562
"Ultrapassar Pela Contramao Linha De Divisao De Fluxos Opostos, Continua Amarela";722;677;635;526
"Estacionar Afastado Da Guia Da Calcada (Meio-Fio) A Mais De 1m";968;576;530;524
"Transitar Com O Veiculo Em Canteiros Centrais/Divisores De Pista De Rolamento";859;487;342;524
"Conduzir Animais Nas Partes Externas Do Veiculo";761;530;387;507
"Estacionar Nas Pontes";449;48;47;502
"Usar Buzina Que Nao A De Toque Breve Como Advertencia A Pedestre Ou Condutores";1070;458;319;496
"Dirigir Ameacando Os Demais Veiculos";820;571;498;493
"Parar No Passeio/Calcada";1188;690;419;461
"Ter Seu Veiculo Imobilizado Na Via Por Falta De Combustivel";580;348;416;443
"Em Movimento, Deixar De Manter Acesa Luz Baixa Do Ciclomotor";27;24;76;430
"Estacionar Em Desacordo Com A Regulamentacao - Vaga De Curta Duracao";791;534;133;355
"Parar Afastado Da Guia Da Calcada (Meio-Fio) De 50cm A 1m";1236;392;245;352
"Dirigir Ameacando Os Pedestres Que Estejam Atravessando A Via Publica";450;280;296;332
